"","year","state","month","fires","date"
"497",1999,"AMAPÁ",6,2,1999-06-01
"498",1999,"AMAPÁ",7,0,1999-07-01
"499",1999,"AMAPÁ",8,0,1999-08-01
"500",1999,"AMAPÁ",9,4,1999-09-01
"501",1999,"AMAPÁ",10,25,1999-10-01
"502",1999,"AMAPÁ",11,26,1999-11-01
"503",1999,"AMAPÁ",12,41,1999-12-01
"504",2000,"AMAPÁ",1,2,2000-01-01
"505",2000,"AMAPÁ",2,0,2000-02-01
"506",2000,"AMAPÁ",3,0,2000-03-01
"507",2000,"AMAPÁ",4,0,2000-04-01
"508",2000,"AMAPÁ",5,0,2000-05-01
"509",2000,"AMAPÁ",6,0,2000-06-01
"510",2000,"AMAPÁ",7,0,2000-07-01
"511",2000,"AMAPÁ",8,3,2000-08-01
"512",2000,"AMAPÁ",9,19,2000-09-01
"513",2000,"AMAPÁ",10,42,2000-10-01
"514",2000,"AMAPÁ",11,157,2000-11-01
"515",2000,"AMAPÁ",12,30,2000-12-01
"516",2001,"AMAPÁ",1,0,2001-01-01
"517",2001,"AMAPÁ",2,0,2001-02-01
"518",2001,"AMAPÁ",3,0,2001-03-01
"519",2001,"AMAPÁ",4,0,2001-04-01
"520",2001,"AMAPÁ",5,0,2001-05-01
"521",2001,"AMAPÁ",6,0,2001-06-01
"522",2001,"AMAPÁ",7,1,2001-07-01
"523",2001,"AMAPÁ",8,12,2001-08-01
"524",2001,"AMAPÁ",9,95,2001-09-01
"525",2001,"AMAPÁ",10,194,2001-10-01
"526",2001,"AMAPÁ",11,406,2001-11-01
"527",2001,"AMAPÁ",12,593,2001-12-01
"528",2002,"AMAPÁ",1,7,2002-01-01
"529",2002,"AMAPÁ",2,2,2002-02-01
"530",2002,"AMAPÁ",3,0,2002-03-01
"531",2002,"AMAPÁ",4,0,2002-04-01
"532",2002,"AMAPÁ",5,3,2002-05-01
"533",2002,"AMAPÁ",6,0,2002-06-01
"534",2002,"AMAPÁ",7,1,2002-07-01
"535",2002,"AMAPÁ",8,18,2002-08-01
"536",2002,"AMAPÁ",9,73,2002-09-01
"537",2002,"AMAPÁ",10,557,2002-10-01
"538",2002,"AMAPÁ",11,1096,2002-11-01
"539",2002,"AMAPÁ",12,200,2002-12-01
"540",2003,"AMAPÁ",1,31,2003-01-01
"541",2003,"AMAPÁ",2,0,2003-02-01
"542",2003,"AMAPÁ",3,1,2003-03-01
"543",2003,"AMAPÁ",4,2,2003-04-01
"544",2003,"AMAPÁ",5,0,2003-05-01
"545",2003,"AMAPÁ",6,0,2003-06-01
"546",2003,"AMAPÁ",7,0,2003-07-01
"547",2003,"AMAPÁ",8,14,2003-08-01
"548",2003,"AMAPÁ",9,88,2003-09-01
"549",2003,"AMAPÁ",10,355,2003-10-01
"550",2003,"AMAPÁ",11,750,2003-11-01
"551",2003,"AMAPÁ",12,411,2003-12-01
"552",2004,"AMAPÁ",1,38,2004-01-01
"553",2004,"AMAPÁ",2,2,2004-02-01
"554",2004,"AMAPÁ",3,0,2004-03-01
"555",2004,"AMAPÁ",4,0,2004-04-01
"556",2004,"AMAPÁ",5,0,2004-05-01
"557",2004,"AMAPÁ",6,5,2004-06-01
"558",2004,"AMAPÁ",7,2,2004-07-01
"559",2004,"AMAPÁ",8,9,2004-08-01
"560",2004,"AMAPÁ",9,67,2004-09-01
"561",2004,"AMAPÁ",10,412,2004-10-01
